2.00E-04,3.0354E+01,2.7959E+01
4.00E-04,6.0709E+01,5.5917E+01
6.00E-04,8.9017E+01,8.1365E+01
8.00E-04,1.0632E+02,9.4864E+01
1.00E-03,1.1374E+02,1.0403E+02
1.20E-03,1.1885E+02,1.0817E+02
1.40E-03,1.2339E+02,1.1108E+02
1.60E-03,1.2766E+02,1.1350E+02
1.80E-03,1.3178E+02,1.1563E+02
2.00E-03,1.3583E+02,1.1756E+02
2.20E-03,1.3983E+02,1.1938E+02
2.40E-03,1.4380E+02,1.2112E+02
2.60E-03,1.4774E+02,1.2281E+02
2.80E-03,1.5167E+02,1.2446E+02
3.00E-03,1.5558E+02,1.2610E+02
3.20E-03,1.5948E+02,1.2772E+02
3.40E-03,1.6337E+02,1.2933E+02
3.60E-03,1.6718E+02,1.3094E+02
3.80E-03,1.7090E+02,1.3254E+02
4.00E-03,1.7455E+02,1.3413E+02
4.20E-03,1.7811E+02,1.3572E+02
4.40E-03,1.8161E+02,1.3731E+02
4.60E-03,1.8505E+02,1.3890E+02
4.80E-03,1.8843E+02,1.4049E+02
5.00E-03,1.9176E+02,1.4207E+02
